anio,funcion,sexo,decil,valor_millones
2016,Limpieza vivienda,Total,II,71401.153
2016,Limpieza vivienda,Total,III,77668.35
2016,Limpieza vivienda,Total,IV,81740.147
2016,Limpieza vivienda,Total,V,86113.333
2016,Limpieza vivienda,Total,VI,91955.503
2016,Limpieza vivienda,Total,VII,96888.626
2016,Limpieza vivienda,Total,VIII,106128.648
2016,Limpieza vivienda,Total,IX,112294.472
2016,Limpieza vivienda,Total,X,114512.975
2017,Limpieza vivienda,Total,Total,993097.352
2017,Limpieza vivienda,Total,I,78860.97
2017,Limpieza vivienda,Total,II,77470.023
2017,Limpieza vivienda,Total,III,84373.648
2017,Limpieza vivienda,Total,IV,87550.697
2017,Limpieza vivienda,Total,V,94789.133
2017,Limpieza vivienda,Total,VI,100358.866
2017,Limpieza vivienda,Total,VII,105124.947
2017,Limpieza vivienda,Total,VIII,114852.059
2017,Limpieza vivienda,Total,IX,122727.574
2017,Limpieza vivienda,Total,X,126989.435
2018,Limpieza vivienda,Total,Total,1087680.474
2018,Limpieza vivienda,Total,I,86087.637
2018,Limpieza vivienda,Total,II,84449.068
2018,Limpieza vivienda,Total,III,92040.774
2018,Limpieza vivienda,Total,IV,94247.375
2018,Limpieza vivienda,Total,V,104737.504
2018,Limpieza vivienda,Total,VI,109989.832
2018,Limpieza vivienda,Total,VII,114644.861
2018,Limpieza vivienda,Total,VIII,125014.878
2018,Limpieza vivienda,Total,IX,134811.099
2018,Limpieza vivienda,Total,X,141657.448
2019,Limpieza vivienda,Total,Total,1186443.763
2019,Limpieza vivienda,Total,I,93853.392
2019,Limpieza vivienda,Total,II,91916.548
2019,Limpieza vivienda,Total,III,100111.925
2019,Limpieza vivienda,Total,IV,101038.914
2019,Limpieza vivienda,Total,V,115220.358
2019,Limpieza vivienda,Total,VI,119935.847
2019,Limpieza vivienda,Total,VII,124423.942
2019,Limpieza vivienda,Total,VIII,135430.613
2019,Limpieza vivienda,Total,IX,147264.259
2019,Limpieza vivienda,Total,X,157247.965
2020,Limpieza vivienda,Total,Total,1431749.793
2020,Limpieza vivienda,Total,I,111566.747
2020,Limpieza vivienda,Total,II,110768.073
2020,Limpieza vivienda,Total,III,120306.618
2020,Limpieza vivienda,Total,IV,120370.912
2020,Limpieza vivienda,Total,V,138744.896
2020,Limpieza vivienda,Total,VI,145244.166
2020,Limpieza vivienda,Total,VII,152146.615
2020,Limpieza vivienda,Total,VIII,163819.27
2020,Limpieza vivienda,Total,IX,178325.751
2020,Limpieza vivienda,Total,X,190456.744
2021,Limpieza vivienda,Total,Total,1523644.969
2021,Limpieza vivienda,Total,I,118281.0
2021,Limpieza vivienda,Total,II,118580.76
2021,Limpieza vivienda,Total,III,127990.173
2021,Limpieza vivienda,Total,IV,126745.543
2021,Limpieza vivienda,Total,V,147491.986
2021,Limpieza vivienda,Total,VI,155102.741
2021,Limpieza vivienda,Total,VII,163735.945
2021,Limpieza vivienda,Total,VIII,174059.72
2021,Limpieza vivienda,Total,IX,189712.497
2021,Limpieza vivienda,Total,X,201944.605
2022,Limpieza vivienda,Total,Total,1719826.165
2022,Limpieza vivienda,Total,I,133154.426
2022,Limpieza vivienda,Total,II,134683.201
2022,Limpieza vivienda,Total,III,144466.551
2022,Limpieza vivienda,Total,IV,141697.615
2022,Limpieza vivienda,Total,V,166335.907
2022,Limpieza vivienda,Total,VI,175751.923
2022,Limpieza vivienda,Total,VII,186849.672
2022,Limpieza vivienda,Total,VIII,196090.98
2022,Limpieza vivienda,Total,IX,214035.609
2022,Limpieza vivienda,Total,X,226760.282
2023,Limpieza vivienda,Total,Total,1914314.842
2023,Limpieza vivienda,Total,I,147526.487
2023,Limpieza vivienda,Total,II,150533.528
2023,Limpieza vivienda,Total,III,160742.529
2023,Limpieza vivienda,Total,IV,156354.418
2023,Limpieza vivienda,Total,V,184921.199
2023,Limpieza vivienda,Total,VI,196501.672
2023,Limpieza vivienda,Total,VII,210258.795
2023,Limpieza vivienda,Total,VIII,217994.289
2023,Limpieza vivienda,Total,IX,238352.139
2023,Limpieza vivienda,Total,X,251129.785
2024,Limpieza vivienda,Total,Total,2144837.122
2024,Limpieza vivienda,Total,I,164603.595
2024,Limpieza vivienda,Total,II,169719.866
2024,Limpieza vivienda,Total,III,180075.012
2024,Limpieza vivienda,Total,IV,173396.727
2024,Limpieza vivienda,Total,V,206697.2
2024,Limpieza vivienda,Total,VI,221274.301
2024,Limpieza vivienda,Total,VII,238289.293
2024,Limpieza vivienda,Total,VIII,243764.133
2024,Limpieza vivienda,Total,IX,267013.676
2024,Limpieza vivienda,Total,X,280003.319
2003,Limpieza vivienda,Mujeres,Total,258970.527
2003,Limpieza vivienda,Mujeres,I,18099.794
2003,Limpieza vivienda,Mujeres,II,26207.298
2003,Limpieza vivienda,Mujeres,III,25094.258
2003,Limpieza vivienda,Mujeres,IV,26073.324
2003,Limpieza vivienda,Mujeres,V,28314.232
2003,Limpieza vivienda,Mujeres,VI,30400.482
2003,Limpieza vivienda,Mujeres,VII,27815.934
2003,Limpieza vivienda,Mujeres,VIII,27389.378
2003,Limpieza vivienda,Mujeres,IX,27695.556
2003,Limpieza vivienda,Mujeres,X,21880.27
2004,Limpieza vivienda,Mujeres,Total,278198.224
2004,Limpieza vivienda,Mujeres,I,20109.492
2004,Limpieza vivienda,Mujeres,II,27661.859
2004,Limpieza vivienda,Mujeres,III,26841.528
2004,Limpieza vivienda,Mujeres,IV,27791.757
2004,Limpieza vivienda,Mujeres,V,29934.775
2004,Limpieza vivienda,Mujeres,VI,32024.727
2004,Limpieza vivienda,Mujeres,VII,29924.797
2004,Limpieza vivienda,Mujeres,VIII,29485.53
2004,Limpieza vivienda,Mujeres,IX,30000.462
2004,Limpieza vivienda,Mujeres,X,24423.297
2005,Limpieza vivienda,Mujeres,Total,319395.363
2005,Limpieza vivienda,Mujeres,I,23840.661
2005,Limpieza vivienda,Mujeres,II,31187.436
2005,Limpieza vivienda,Mujeres,III,30653.041
2005,Limpieza vivienda,Mujeres,IV,31677.869
2005,Limpieza vivienda,Mujeres,V,33787.157
2005,Limpieza vivienda,Mujeres,VI,36065.885
2005,Limpieza vivienda,Mujeres,VII,34426.03
2005,Limpieza vivienda,Mujeres,VIII,33908.722
2005,Limpieza vivienda,Mujeres,IX,34750.108
2005,Limpieza vivienda,Mujeres,X,29098.455
2006,Limpieza vivienda,Mujeres,Total,326464.171
2006,Limpieza vivienda,Mujeres,I,25106.115
2006,Limpieza vivienda,Mujeres,II,31313.258
2006,Limpieza vivienda,Mujeres,III,31190.088
2006,Limpieza vivienda,Mujeres,IV,32160.375
2006,Limpieza vivienda,Mujeres,V,33976.839
2006,Limpieza vivienda,Mujeres,VI,36180.59
2006,Limpieza vivienda,Mujeres,VII,35241.499
2006,Limpieza vivienda,Mujeres,VIII,34716.947
2006,Limpieza vivienda,Mujeres,IX,35804.39
2006,Limpieza vivienda,Mujeres,X,30774.07
2007,Limpieza vivienda,Mujeres,Total,355044.244
2007,Limpieza vivienda,Mujeres,I,28138.087
2007,Limpieza vivienda,Mujeres,II,33411.608
2007,Limpieza vivienda,Mujeres,III,33776.568
2007,Limpieza vivienda,Mujeres,IV,34749.407
2007,Limpieza vivienda,Mujeres,V,36327.963
2007,Limpieza vivienda,Mujeres,VI,38595.173
2007,Limpieza vivienda,Mujeres,VII,38384.731
2007,Limpieza vivienda,Mujeres,VIII,37806.207
2007,Limpieza vivienda,Mujeres,IX,39252.257
2007,Limpieza vivienda,Mujeres,X,34602.242
2008,Limpieza vivienda,Mujeres,Total,369752.243
2008,Limpieza vivienda,Mujeres,I,30177.769
2008,Limpieza vivienda,Mujeres,II,34104.461
2008,Limpieza vivienda,Mujeres,III,35020.157
2008,Limpieza vivienda,Mujeres,IV,35951.722
2008,Limpieza vivienda,Mujeres,V,37173.896
2008,Limpieza vivienda,Mujeres,VI,39406.377
2008,Limpieza vivienda,Mujeres,VII,40049.896
2008,Limpieza vivienda,Mujeres,VIII,39416.426
2008,Limpieza vivienda,Mujeres,IX,41226.225
2008,Limpieza vivienda,Mujeres,X,37225.313
2009,Limpieza vivienda,Mujeres,Total,362617.182
2009,Limpieza vivienda,Mujeres,I,30725.878
2009,Limpieza vivienda,Mujeres,II,32676.324
2009,Limpieza vivienda,Mujeres,III,34116.275
2009,Limpieza vivienda,Mujeres,IV,34935.941
2009,Limpieza vivienda,Mujeres,V,35621.374
2009,Limpieza vivienda,Mujeres,VI,37639.505
2009,Limpieza vivienda,Mujeres,VII,39348.747
2009,Limpieza vivienda,Mujeres,VIII,38678.697
2009,Limpieza vivienda,Mujeres,IX,40849.724
2009,Limpieza vivienda,Mujeres,X,38024.716
2010,Limpieza vivienda,Mujeres,Total,396980.356
2010,Limpieza vivienda,Mujeres,I,33944.351
2010,Limpieza vivienda,Mujeres,II,35186.248
2010,Limpieza vivienda,Mujeres,III,36908.859
2010,Limpieza vivienda,Mujeres,IV,38187.094
2010,Limpieza vivienda,Mujeres,V,38776.186
2010,Limpieza vivienda,Mujeres,VI,40964.953
2010,Limpieza vivienda,Mujeres,VII,42722.922
2010,Limpieza vivienda,Mujeres,VIII,42961.395
2010,Limpieza vivienda,Mujeres,IX,45289.39
2010,Limpieza vivienda,Mujeres,X,42038.958
2011,Limpieza vivienda,Mujeres,Total,440307.164
2011,Limpieza vivienda,Mujeres,I,37921.668
2011,Limpieza vivienda,Mujeres,II,38400.676
2011,Limpieza vivienda,Mujeres,III,40491.737
2011,Limpieza vivienda,Mujeres,IV,42301.631
2011,Limpieza vivienda,Mujeres,V,42778.983
2011,Limpieza vivienda,Mujeres,VI,45201.991
2011,Limpieza vivienda,Mujeres,VII,47035.603
2011,Limpieza vivienda,Mujeres,VIII,48296.505
2011,Limpieza vivienda,Mujeres,IX,50820.994
2011,Limpieza vivienda,Mujeres,X,47057.376
2012,Limpieza vivienda,Mujeres,Total,478154.437
2012,Limpieza vivienda,Mujeres,I,41464.04
2012,Limpieza vivienda,Mujeres,II,41093.664
2012,Limpieza vivienda,Mujeres,III,43550.195
2012,Limpieza vivienda,Mujeres,IV,45890.743
2012,Limpieza vivienda,Mujeres,V,46251.973
2012,Limpieza vivienda,Mujeres,VI,48858.636
2012,Limpieza vivienda,Mujeres,VII,50730.14
2012,Limpieza vivienda,Mujeres,VIII,53061.756
2012,Limpieza vivienda,Mujeres,IX,55770.612
2012,Limpieza vivienda,Mujeres,X,51482.679
2013,Limpieza vivienda,Mujeres,Total,523909.215
2013,Limpieza vivienda,Mujeres,I,45723.355
2013,Limpieza vivienda,Mujeres,II,44427.234
2013,Limpieza vivienda,Mujeres,III,47289.44
2013,Limpieza vivienda,Mujeres,IV,50237.135
2013,Limpieza vivienda,Mujeres,V,50469.885
2013,Limpieza vivienda,Mujeres,VI,53297.157
2013,Limpieza vivienda,Mujeres,VII,55220.736
2013,Limpieza vivienda,Mujeres,VIII,58763.973
2013,Limpieza vivienda,Mujeres,IX,61684.653
2013,Limpieza vivienda,Mujeres,X,56795.648
2014,Limpieza vivienda,Mujeres,Total,557170.572
2014,Limpieza vivienda,Mujeres,I,48934.292
2014,Limpieza vivienda,Mujeres,II,46669.165
2014,Limpieza vivienda,Mujeres,III,49855.508
2014,Limpieza vivienda,Mujeres,IV,53375.817
2014,Limpieza vivienda,Mujeres,V,53446.496
2014,Limpieza vivienda,Mujeres,VI,56435.016
2014,Limpieza vivienda,Mujeres,VII,58353.779
2014,Limpieza vivienda,Mujeres,VIII,63117.818
2014,Limpieza vivienda,Mujeres,IX,66165.304
2014,Limpieza vivienda,Mujeres,X,60817.377
2015,Limpieza vivienda,Mujeres,Total,594955.255
2015,Limpieza vivienda,Mujeres,I,52449.958
2015,Limpieza vivienda,Mujeres,II,49736.648
2015,Limpieza vivienda,Mujeres,III,52756.103
2015,Limpieza vivienda,Mujeres,IV,55989.823
2015,Limpieza vivienda,Mujeres,V,57636.455
2015,Limpieza vivienda,Mujeres,VI,60205.686
2015,Limpieza vivienda,Mujeres,VII,62000.817
2015,Limpieza vivienda,Mujeres,VIII,66787.248
2015,Limpieza vivienda,Mujeres,IX,70441.88
2015,Limpieza vivienda,Mujeres,X,66950.638
2016,Limpieza vivienda,Mujeres,Total,653317.984
2016,Limpieza vivienda,Mujeres,I,57908.442
2016,Limpieza vivienda,Mujeres,II,54589.884
2016,Limpieza vivienda,Mujeres,III,57447.128
2016,Limpieza vivienda,Mujeres,IV,60429.71
2016,Limpieza vivienda,Mujeres,V,63862.651
2016,Limpieza vivienda,Mujeres,VI,66014.702
2016,Limpieza vivienda,Mujeres,VII,67708.9
2016,Limpieza vivienda,Mujeres,VIII,72650.588
2016,Limpieza vivienda,Mujeres,IX,77079.904
2016,Limpieza vivienda,Mujeres,X,75626.076
2017,Limpieza vivienda,Mujeres,Total,710323.145
2017,Limpieza vivienda,Mujeres,I,63074.188
2017,Limpieza vivienda,Mujeres,II,59182.972
2017,Limpieza vivienda,Mujeres,III,61977.983
2017,Limpieza vivienda,Mujeres,IV,64732.052
2017,Limpieza vivienda,Mujeres,V,70018.251
2017,Limpieza vivienda,Mujeres,VI,71785.031
2017,Limpieza vivienda,Mujeres,VII,73372.238
2017,Limpieza vivienda,Mujeres,VIII,78400.723
2017,Limpieza vivienda,Mujeres,IX,83643.567
2017,Limpieza vivienda,Mujeres,X,84136.142
2018,Limpieza vivienda,Mujeres,Total,772735.578
2018,Limpieza vivienda,Mujeres,I,68841.418
2018,Limpieza vivienda,Mujeres,II,64278.336
2018,Limpieza vivienda,Mujeres,III,66917.02
2018,Limpieza vivienda,Mujeres,IV,69368.738
2018,Limpieza vivienda,Mujeres,V,76761.515
2018,Limpieza vivienda,Mujeres,VI,78047.16
2018,Limpieza vivienda,Mujeres,VII,79511.563
2018,Limpieza vivienda,Mujeres,VIII,84643.087
2018,Limpieza vivienda,Mujeres,IX,90772.156
2018,Limpieza vivienda,Mujeres,X,93594.584
2019,Limpieza vivienda,Mujeres,Total,838565.484
2019,Limpieza vivienda,Mujeres,I,75058.4
2019,Limpieza vivienda,Mujeres,II,69736.127
2019,Limpieza vivienda,Mujeres,III,72084.766
2019,Limpieza vivienda,Mujeres,IV,74112.763
2019,Limpieza vivienda,Mujeres,V,83930.974
2019,Limpieza vivienda,Mujeres,VI,84581.692
2019,Limpieza vivienda,Mujeres,VII,85861.402
2019,Limpieza vivienda,Mujeres,VIII,91087.312
2019,Limpieza vivienda,Mujeres,IX,98196.811
2019,Limpieza vivienda,Mujeres,X,103915.237
2020,Limpieza vivienda,Mujeres,Total,989382.293
2020,Limpieza vivienda,Mujeres,I,88422.315
2020,Limpieza vivienda,Mujeres,II,82316.973
2020,Limpieza vivienda,Mujeres,III,85450.081
2020,Limpieza vivienda,Mujeres,IV,85927.219
2020,Limpieza vivienda,Mujeres,V,98837.54
2020,Limpieza vivienda,Mujeres,VI,100175.304
2020,Limpieza vivienda,Mujeres,VII,102946.354
2020,Limpieza vivienda,Mujeres,VIII,107677.872
2020,Limpieza vivienda,Mujeres,IX,115868.387
2020,Limpieza vivienda,Mujeres,X,121760.248
2021,Limpieza vivienda,Mujeres,Total,1047343.285
2021,Limpieza vivienda,Mujeres,I,93635.353
2021,Limpieza vivienda,Mujeres,II,87251.281
2021,Limpieza vivienda,Mujeres,III,90870.239
2021,Limpieza vivienda,Mujeres,IV,89568.887
2021,Limpieza vivienda,Mujeres,V,104395.648
2021,Limpieza vivienda,Mujeres,VI,106466.459
2021,Limpieza vivienda,Mujeres,VII,110646.591
2021,Limpieza vivienda,Mujeres,VIII,114058.862
2021,Limpieza vivienda,Mujeres,IX,122640.536
2021,Limpieza vivienda,Mujeres,X,127809.429
2022,Limpieza vivienda,Mujeres,Total,1179214.184
2022,Limpieza vivienda,Mujeres,I,105460.867
2022,Limpieza vivienda,Mujeres,II,98335.126
2022,Limpieza vivienda,Mujeres,III,102740.229
2022,Limpieza vivienda,Mujeres,IV,99355.146
2022,Limpieza vivienda,Mujeres,V,117289.866
2022,Limpieza vivienda,Mujeres,VI,120378.149
2022,Limpieza vivienda,Mujeres,VII,126478.674
2022,Limpieza vivienda,Mujeres,VIII,128554.764
2022,Limpieza vivienda,Mujeres,IX,138104.302
2022,Limpieza vivienda,Mujeres,X,142517.061
2023,Limpieza vivienda,Mujeres,Total,1307428.799
2023,Limpieza vivienda,Mujeres,I,116844.397
2023,Limpieza vivienda,Mujeres,II,109040.112
2023,Limpieza vivienda,Mujeres,III,114392.139
2023,Limpieza vivienda,Mujeres,IV,108622.671
2023,Limpieza vivienda,Mujeres,V,129760.478
2023,Limpieza vivienda,Mujeres,VI,134089.045
2023,Limpieza vivienda,Mujeres,VII,142371.351
2023,Limpieza vivienda,Mujeres,VIII,142755.509
2023,Limpieza vivienda,Mujeres,IX,153219.523
2023,Limpieza vivienda,Mujeres,X,156333.573
2024,Limpieza vivienda,Mujeres,Total,1456630.658
2024,Limpieza vivienda,Mujeres,I,130224.626
2024,Limpieza vivienda,Mujeres,II,121516.751
2024,Limpieza vivienda,Mujeres,III,127978.95
2024,Limpieza vivienda,Mujeres,IV,119056.797
2024,Limpieza vivienda,Mujeres,V,144185.978
2024,Limpieza vivienda,Mujeres,VI,150176.418
2024,Limpieza vivienda,Mujeres,VII,161185.857
2024,Limpieza vivienda,Mujeres,VIII,159268.932
2024,Limpieza vivienda,Mujeres,IX,170754.354
2024,Limpieza vivienda,Mujeres,X,172281.995
2003,Limpieza vivienda,Hombres,Total,66290.35
2003,Limpieza vivienda,Hombres,I,4824.61
2003,Limpieza vivienda,Hombres,II,5177.17
2003,Limpieza vivienda,Hombres,III,5399.423
2003,Limpieza vivienda,Hombres,IV,5949.926
2003,Limpieza vivienda,Hombres,V,5597.881
2003,Limpieza vivienda,Hombres,VI,7336.036
2003,Limpieza vivienda,Hombres,VII,8072.85
2003,Limpieza vivienda,Hombres,VIII,8375.697
2003,Limpieza vivienda,Hombres,IX,6938.195
2003,Limpieza vivienda,Hombres,X,8618.561
2004,Limpieza vivienda,Hombres,Total,73908.751
2004,Limpieza vivienda,Hombres,I,5474.681
2004,Limpieza vivienda,Hombres,II,5665.235
2004,Limpieza vivienda,Hombres,III,5968.048
2004,Limpieza vivienda,Hombres,IV,6600.044
2004,Limpieza vivienda,Hombres,V,6333.775
2004,Limpieza vivienda,Hombres,VI,8124.855
2004,Limpieza vivienda,Hombres,VII,8804.928
2004,Limpieza vivienda,Hombres,VIII,9293.084
2004,Limpieza vivienda,Hombres,IX,8066.143
2004,Limpieza vivienda,Hombres,X,9577.957
2005,Limpieza vivienda,Hombres,Total,91336.422
2005,Limpieza vivienda,Hombres,I,6878.4
2005,Limpieza vivienda,Hombres,II,6833.815
2005,Limpieza vivienda,Hombres,III,7286.533
2005,Limpieza vivienda,Hombres,IV,8097.447
2005,Limpieza vivienda,Hombres,V,7920.303
2005,Limpieza vivienda,Hombres,VI,10065.381
2005,Limpieza vivienda,Hombres,VII,10620.712
2005,Limpieza vivienda,Hombres,VIII,11373.516
2005,Limpieza vivienda,Hombres,IX,10346.676
2005,Limpieza vivienda,Hombres,X,11913.639
2006,Limpieza vivienda,Hombres,Total,96099.589
2006,Limpieza vivienda,Hombres,I,7402.62
2006,Limpieza vivienda,Hombres,II,7125.556
2006,Limpieza vivienda,Hombres,III,7651.675
2006,Limpieza vivienda,Hombres,IV,8468.366
2006,Limpieza vivienda,Hombres,V,8406.982
2006,Limpieza vivienda,Hombres,VI,10591.982
2006,Limpieza vivienda,Hombres,VII,10954.916
2006,Limpieza vivienda,Hombres,VIII,11868.228
2006,Limpieza vivienda,Hombres,IX,11169.685
2006,Limpieza vivienda,Hombres,X,12459.58
2007,Limpieza vivienda,Hombres,Total,104599.34
2007,Limpieza vivienda,Hombres,I,8275.596
2007,Limpieza vivienda,Hombres,II,7769.402
2007,Limpieza vivienda,Hombres,III,8343.487
2007,Limpieza vivienda,Hombres,IV,9160.482
2007,Limpieza vivienda,Hombres,V,9250.518
2007,Limpieza vivienda,Hombres,VI,11478.85
2007,Limpieza vivienda,Hombres,VII,11725.654
2007,Limpieza vivienda,Hombres,VIII,12778.674
2007,Limpieza vivienda,Hombres,IX,12425.1
2007,Limpieza vivienda,Hombres,X,13391.577
2008,Limpieza vivienda,Hombres,Total,109573.328
2008,Limpieza vivienda,Hombres,I,8842.089
2008,Limpieza vivienda,Hombres,II,8135.174
2008,Limpieza vivienda,Hombres,III,8734.842
2008,Limpieza vivienda,Hombres,IV,9521.072
2008,Limpieza vivienda,Hombres,V,9806.45
2008,Limpieza vivienda,Hombres,VI,11978.687
2008,Limpieza vivienda,Hombres,VII,12111.316
2008,Limpieza vivienda,Hombres,VIII,13212.849
2008,Limpieza vivienda,Hombres,IX,13312.463
2008,Limpieza vivienda,Hombres,X,13918.387
2009,Limpieza vivienda,Hombres,Total,115332.475
2009,Limpieza vivienda,Hombres,I,9472.338
2009,Limpieza vivienda,Hombres,II,8396.513
2009,Limpieza vivienda,Hombres,III,9132.083
2009,Limpieza vivienda,Hombres,IV,9959.872
2009,Limpieza vivienda,Hombres,V,10380.533
2009,Limpieza vivienda,Hombres,VI,12529.586
2009,Limpieza vivienda,Hombres,VII,12449.745
2009,Limpieza vivienda,Hombres,VIII,13781.91
2009,Limpieza vivienda,Hombres,IX,14449.081
2009,Limpieza vivienda,Hombres,X,14780.812
2010,Limpieza vivienda,Hombres,Total,133067.289
2010,Limpieza vivienda,Hombres,I,10078.456
2010,Limpieza vivienda,Hombres,II,9451.944
2010,Limpieza vivienda,Hombres,III,10420.134
2010,Limpieza vivienda,Hombres,IV,11500.544
2010,Limpieza vivienda,Hombres,V,11721.477
2010,Limpieza vivienda,Hombres,VI,14110.093
2010,Limpieza vivienda,Hombres,VII,14619.288
2010,Limpieza vivienda,Hombres,VIII,16371.623
2010,Limpieza vivienda,Hombres,IX,16945.084
2010,Limpieza vivienda,Hombres,X,17848.645
2011,Limpieza vivienda,Hombres,Total,153252.756
2011,Limpieza vivienda,Hombres,I,10800.994
2011,Limpieza vivienda,Hombres,II,10666.596
2011,Limpieza vivienda,Hombres,III,11903.596
2011,Limpieza vivienda,Hombres,IV,13263.394
2011,Limpieza vivienda,Hombres,V,13261.163
2011,Limpieza vivienda,Hombres,VI,15934.085
2011,Limpieza vivienda,Hombres,VII,17059.708
2011,Limpieza vivienda,Hombres,VIII,19313.344
2011,Limpieza vivienda,Hombres,IX,19761.527
2011,Limpieza vivienda,Hombres,X,21288.351
2012,Limpieza vivienda,Hombres,Total,170356.992
2012,Limpieza vivienda,Hombres,I,11265.935
2012,Limpieza vivienda,Hombres,II,11671.161
2012,Limpieza vivienda,Hombres,III,13168.887
2012,Limpieza vivienda,Hombres,IV,14761.22
2012,Limpieza vivienda,Hombres,V,14524.918
2012,Limpieza vivienda,Hombres,VI,17434.167
2012,Limpieza vivienda,Hombres,VII,19227.758
2012,Limpieza vivienda,Hombres,VIII,21813.487
2012,Limpieza vivienda,Hombres,IX,22217.052
2012,Limpieza vivienda,Hombres,X,24272.408
2013,Limpieza vivienda,Hombres,Total,191379.009
2013,Limpieza vivienda,Hombres,I,11948.067
2013,Limpieza vivienda,Hombres,II,12892.874
2013,Limpieza vivienda,Hombres,III,14710.294
2013,Limpieza vivienda,Hombres,IV,16624.239
2013,Limpieza vivienda,Hombres,V,16105.436
2013,Limpieza vivienda,Hombres,VI,19336.483
2013,Limpieza vivienda,Hombres,VII,21847.959
2013,Limpieza vivienda,Hombres,VIII,24846.82
2013,Limpieza vivienda,Hombres,IX,25217.527
2013,Limpieza vivienda,Hombres,X,27849.311
2014,Limpieza vivienda,Hombres,Total,209117.259
2014,Limpieza vivienda,Hombres,I,12399.461
2014,Limpieza vivienda,Hombres,II,13879.478
2014,Limpieza vivienda,Hombres,III,16013.165
2014,Limpieza vivienda,Hombres,IV,18230.426
2014,Limpieza vivienda,Hombres,V,17357.115
2014,Limpieza vivienda,Hombres,VI,20882.932
2014,Limpieza vivienda,Hombres,VII,24046.869
2014,Limpieza vivienda,Hombres,VIII,27531.875
2014,Limpieza vivienda,Hombres,IX,27747.299
2014,Limpieza vivienda,Hombres,X,31028.638
2015,Limpieza vivienda,Hombres,Total,229467.818
2015,Limpieza vivienda,Hombres,I,13287.091
2015,Limpieza vivienda,Hombres,II,15060.44
2015,Limpieza vivienda,Hombres,III,17770.263
2015,Limpieza vivienda,Hombres,IV,19433.794
2015,Limpieza vivienda,Hombres,V,19449.508
2015,Limpieza vivienda,Hombres,VI,23002.306
2015,Limpieza vivienda,Hombres,VII,26157.821
2015,Limpieza vivienda,Hombres,VIII,29998.744
2015,Limpieza vivienda,Hombres,IX,30936.7
2015,Limpieza vivienda,Hombres,X,34371.15
2016,Limpieza vivienda,Hombres,Total,257966.411
2016,Limpieza vivienda,Hombres,I,14672.747
2016,Limpieza vivienda,Hombres,II,16811.269
2016,Limpieza vivienda,Hombres,III,20221.222
2016,Limpieza vivienda,Hombres,IV,21310.437
2016,Limpieza vivienda,Hombres,V,22250.682
2016,Limpieza vivienda,Hombres,VI,25940.801
2016,Limpieza vivienda,Hombres,VII,29179.727
2016,Limpieza vivienda,Hombres,VIII,33478.06
2016,Limpieza vivienda,Hombres,IX,35214.568
2016,Limpieza vivienda,Hombres,X,38886.899
2017,Limpieza vivienda,Hombres,Total,282774.206
2017,Limpieza vivienda,Hombres,I,15786.782
2017,Limpieza vivienda,Hombres,II,18287.052
2017,Limpieza vivienda,Hombres,III,22395.665
2017,Limpieza vivienda,Hombres,IV,22818.645
2017,Limpieza vivienda,Hombres,V,24770.882
2017,Limpieza vivienda,Hombres,VI,28573.835
2017,Limpieza vivienda,Hombres,VII,31752.709
2017,Limpieza vivienda,Hombres,VIII,36451.337
2017,Limpieza vivienda,Hombres,IX,39084.007
2017,Limpieza vivienda,Hombres,X,42853.293
2018,Limpieza vivienda,Hombres,Total,314944.895
2018,Limpieza vivienda,Hombres,I,17246.218
2018,Limpieza vivienda,Hombres,II,20170.732
2018,Limpieza vivienda,Hombres,III,25123.754
2018,Limpieza vivienda,Hombres,IV,24878.636
2018,Limpieza vivienda,Hombres,V,27975.989
2018,Limpieza vivienda,Hombres,VI,31942.672
2018,Limpieza vivienda,Hombres,VII,35133.298
2018,Limpieza vivienda,Hombres,VIII,40371.791
2018,Limpieza vivienda,Hombres,IX,44038.943
2018,Limpieza vivienda,Hombres,X,48062.863
2019,Limpieza vivienda,Hombres,Total,347878.28
2019,Limpieza vivienda,Hombres,I,18794.992
2019,Limpieza vivienda,Hombres,II,22180.421
2019,Limpieza vivienda,Hombres,III,28027.159
2019,Limpieza vivienda,Hombres,IV,26926.152
2019,Limpieza vivienda,Hombres,V,31289.384
2019,Limpieza vivienda,Hombres,VI,35354.155
2019,Limpieza vivienda,Hombres,VII,38562.541
2019,Limpieza vivienda,Hombres,VIII,44343.301
2019,Limpieza vivienda,Hombres,IX,49067.448
2019,Limpieza vivienda,Hombres,X,53332.728
2020,Limpieza vivienda,Hombres,Total,442367.5
2020,Limpieza vivienda,Hombres,I,23144.432
2020,Limpieza vivienda,Hombres,II,28451.1
2020,Limpieza vivienda,Hombres,III,34856.537
2020,Limpieza vivienda,Hombres,IV,34443.693
2020,Limpieza vivienda,Hombres,V,39907.356
2020,Limpieza vivienda,Hombres,VI,45068.862
2020,Limpieza vivienda,Hombres,VII,49200.261
2020,Limpieza vivienda,Hombres,VIII,56141.398
2020,Limpieza vivienda,Hombres,IX,62457.364
2020,Limpieza vivienda,Hombres,X,68696.497
2021,Limpieza vivienda,Hombres,Total,476301.684
2021,Limpieza vivienda,Hombres,I,24645.647
2021,Limpieza vivienda,Hombres,II,31329.479
2021,Limpieza vivienda,Hombres,III,37119.933
2021,Limpieza vivienda,Hombres,IV,37176.656
2021,Limpieza vivienda,Hombres,V,43096.337
