anio,funcion,sexo,decil,valor_millones
2018,Total,Total,I,405660.259
2018,Total,Total,II,396918.637
2018,Total,Total,III,437468.138
2018,Total,Total,IV,459107.06
2018,Total,Total,V,497286.312
2018,Total,Total,VI,515838.575
2018,Total,Total,VII,536761.745
2018,Total,Total,VIII,566343.147
2018,Total,Total,IX,589039.245
2018,Total,Total,X,616199.845
2019,Total,Total,Total,5391990.708
2019,Total,Total,I,434281.715
2019,Total,Total,II,425394.747
2019,Total,Total,III,465385.776
2019,Total,Total,IV,486376.817
2019,Total,Total,V,536899.708
2019,Total,Total,VI,554116.771
2019,Total,Total,VII,578118.758
2019,Total,Total,VIII,607536.283
2019,Total,Total,IX,634903.459
2019,Total,Total,X,668976.675
2020,Total,Total,Total,6053098.89
2020,Total,Total,I,495497.309
2020,Total,Total,II,481481.23
2020,Total,Total,III,527421.429
2020,Total,Total,IV,538950.529
2020,Total,Total,V,605295.2
2020,Total,Total,VI,622617.744
2020,Total,Total,VII,648484.569
2020,Total,Total,VIII,677086.123
2020,Total,Total,IX,708819.556
2020,Total,Total,X,747445.202
2021,Total,Total,Total,6179964.395
2021,Total,Total,I,510758.543
2021,Total,Total,II,492633.454
2021,Total,Total,III,541030.966
2021,Total,Total,IV,541939.303
2021,Total,Total,V,618951.408
2021,Total,Total,VI,634993.242
2021,Total,Total,VII,664134.245
2021,Total,Total,VIII,688809.774
2021,Total,Total,IX,722664.799
2021,Total,Total,X,764048.66
2022,Total,Total,Total,6712288.792
2022,Total,Total,I,559276.481
2022,Total,Total,II,535673.196
2022,Total,Total,III,589268.45
2022,Total,Total,IV,579816.192
2022,Total,Total,V,673438.444
2022,Total,Total,VI,687954.694
2022,Total,Total,VII,723205.16
2022,Total,Total,VIII,745989.138
2022,Total,Total,IX,784595.901
2022,Total,Total,X,833071.135
2023,Total,Total,Total,7387806.865
2023,Total,Total,I,623025.397
2023,Total,Total,II,591020.665
2023,Total,Total,III,652945.822
2023,Total,Total,IV,628820.975
2023,Total,Total,V,742547.678
2023,Total,Total,VI,757374.075
2023,Total,Total,VII,797884.187
2023,Total,Total,VIII,817180.588
2023,Total,Total,IX,861158.492
2023,Total,Total,X,915848.988
2024,Total,Total,Total,8011499.324
2024,Total,Total,I,685048.073
2024,Total,Total,II,644763.567
2024,Total,Total,III,714275.037
2024,Total,Total,IV,672307.06
2024,Total,Total,V,806981.298
2024,Total,Total,VI,823507.012
2024,Total,Total,VII,866624.312
2024,Total,Total,VIII,881472.004
2024,Total,Total,IX,929319.452
2024,Total,Total,X,987201.509
2003,Total,Mujeres,Total,1227216.378
2003,Total,Mujeres,I,97410.456
2003,Total,Mujeres,II,123095.772
2003,Total,Mujeres,III,125413.944
2003,Total,Mujeres,IV,118027.274
2003,Total,Mujeres,V,132086.245
2003,Total,Mujeres,VI,137986.86
2003,Total,Mujeres,VII,130337.973
2003,Total,Mujeres,VIII,123820.561
2003,Total,Mujeres,IX,126886.656
2003,Total,Mujeres,X,112150.638
2004,Total,Mujeres,Total,1337997.344
2004,Total,Mujeres,I,106346.866
2004,Total,Mujeres,II,131099.577
2004,Total,Mujeres,III,134890.258
2004,Total,Mujeres,IV,129468.826
2004,Total,Mujeres,V,141489.277
2004,Total,Mujeres,VI,149496.003
