anio,funcion,sexo,horas_semana
2016,Ropa y calzado,Mujeres,4.983
2017,Ropa y calzado,Mujeres,4.985
2018,Ropa y calzado,Mujeres,4.985
2019,Ropa y calzado,Mujeres,4.917
2020,Ropa y calzado,Mujeres,4.858
2021,Ropa y calzado,Mujeres,4.675
2022,Ropa y calzado,Mujeres,4.575
2023,Ropa y calzado,Mujeres,4.407
2024,Ropa y calzado,Mujeres,4.126
2003,Ropa y calzado,Hombres,1.982
2004,Ropa y calzado,Hombres,1.959
2005,Ropa y calzado,Hombres,1.988
2006,Ropa y calzado,Hombres,1.876
2007,Ropa y calzado,Hombres,1.824
2008,Ropa y calzado,Hombres,1.78
2009,Ropa y calzado,Hombres,1.663
2010,Ropa y calzado,Hombres,1.685
2011,Ropa y calzado,Hombres,1.714
2012,Ropa y calzado,Hombres,1.718
2013,Ropa y calzado,Hombres,1.731
2014,Ropa y calzado,Hombres,1.729
2015,Ropa y calzado,Hombres,1.807
2016,Ropa y calzado,Hombres,1.874
2017,Ropa y calzado,Hombres,1.936
2018,Ropa y calzado,Hombres,1.995
2019,Ropa y calzado,Hombres,2.025
2020,Ropa y calzado,Hombres,2.047
2021,Ropa y calzado,Hombres,2.015
2022,Ropa y calzado,Hombres,2.017
2023,Ropa y calzado,Hombres,1.988
2024,Ropa y calzado,Hombres,1.91
2003,Compras y administración,Mujeres,4.985
2004,Compras y administración,Mujeres,4.816
2005,Compras y administración,Mujeres,4.768
2006,Compras y administración,Mujeres,4.391
2007,Compras y administración,Mujeres,4.153
2008,Compras y administración,Mujeres,3.934
2009,Compras y administración,Mujeres,3.518
2010,Compras y administración,Mujeres,3.517
2011,Compras y administración,Mujeres,3.534
2012,Compras y administración,Mujeres,3.504
2013,Compras y administración,Mujeres,3.496
2014,Compras y administración,Mujeres,3.504
2015,Compras y administración,Mujeres,3.535
2016,Compras y administración,Mujeres,3.719
2017,Compras y administración,Mujeres,3.855
2018,Compras y administración,Mujeres,3.994
2019,Compras y administración,Mujeres,3.842
2020,Compras y administración,Mujeres,3.436
2021,Compras y administración,Mujeres,3.346
2022,Compras y administración,Mujeres,3.332
2023,Compras y administración,Mujeres,3.322
2024,Compras y administración,Mujeres,3.216
2003,Compras y administración,Hombres,3.844
2004,Compras y administración,Hombres,3.73
2005,Compras y administración,Hombres,3.716
2006,Compras y administración,Hombres,3.447
2007,Compras y administración,Hombres,3.292
2008,Compras y administración,Hombres,3.155
2009,Compras y administración,Hombres,2.879
2010,Compras y administración,Hombres,2.867
2011,Compras y administración,Hombres,2.871
