periodo,sexo,poblacion,nivel_ingreso,nivel_instruccion
Primer trimestre del 2018,Mujer,904842.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2017,Hombre,1023285.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2017,Mujer,819449.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2017,Hombre,1004963.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2017,Mujer,778640.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2017,Hombre,973160.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2017,Mujer,800509.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2017,Hombre,982020.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2017,Mujer,834730.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2016,Hombre,1048078.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2016,Mujer,881532.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2016,Hombre,1055941.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2016,Mujer,918046.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2016,Hombre,1119997.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2016,Mujer,949825.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2016,Hombre,1056491.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2016,Mujer,923751.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2015,Hombre,1062409.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2015,Mujer,902055.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2015,Hombre,994712.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2015,Mujer,847775.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2015,Hombre,966823.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2015,Mujer,826966.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2015,Hombre,974002.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2015,Mujer,882025.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2014,Hombre,1054447.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2014,Mujer,828866.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2014,Hombre,1049656.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2014,Mujer,834965.0,Hasta un salario mínimo,Primaria incompleta
