Edad,Generacion,ing_hombres,ing_mujeres,brecha_abs,brecha_pct,pob_total
15 a 19 años,Gen Z (15–19),7017.023117950332,6032.220626039619,984.8024919107129,14.034476947802519,2969753.0
20 a 29 años,Gen Z / Millennials (20–29),10499.734001912359,8892.431185250598,1607.3028166617605,15.308033673700837,12308362.0
30 a 39 años,Millennials (30–39),12683.617152349974,10225.840165766967,2457.776986583007,19.37757153232616,14044114.0
40 a 49 años,Generación X (40–49),12690.46684155679,9794.227392011655,2896.2394495451354,22.822166321423065,12995804.0
50 a 59 años,Baby Boomers (50–59),11765.613939823463,9244.77370724929,2520.8402325741736,21.425488253033716,10791558.0
60 años y más,Silenciosa / BB senior (60+),9868.071687889436,7465.9439459781015,2402.127741911335,24.342422895643733,6641460.0
